experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,num_edges,scheduler,makespan,energy_kwh,avg_power_kw,utilization,burstiness,num_time_bins,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,pattern
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,3.717728307480167,4.833046799724216,4.86539625,0.00010741965997887401,0.8067986778385778,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,3.593753346413072,4.671879350336994,4.90732125,0.005305402439206854,0.7798943894125592,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,3.534896188643105,4.595365045236036,4.62905612,0.00011651442446938435,0.7671215687159515,
comd_n64_dense_20260121_214717,comd,real,64,frontier,adaptive_routing,static_matrix,minimal,3.5605183438605126,24.335060005283502,0.01729095538871795,0.02732436224,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,adaptive_routing,static_matrix,ugal,4.069163821554872,24.335060005283502,0.01729095538871795,0.02732436224,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,adaptive_routing,static_matrix,valiant,5.08692535614359,24.335060005283502,0.01738507122871795,0.02732436224,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,contiguous,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,random,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,locality,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,spectral,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3972.7339174652648,10836.318601439349,9819.622399999998,70.0,1.2390049419207831,388.0,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,backfill,3414.4000000000005,8568.297006876444,9034.052607999998,78.0,1.2390049419207831,388.0,,,,,,,
