simulator,topology,status,rho_target,mean_utilization,max_utilization,stall_ratio,slowdown,avg_latency_ns,md1_stall_ratio,md1_slowdown,stall_ratio_vs_md1
raps,dragonfly,ok,0.7,0.3417840375586856,0.7,0.8166666666666664,1.8166666666666664,635.8333333333333,0.8166666666666664,1.8166666666666664,1.0
raps,dragonfly_1000n,ok,0.7,0.2291499445396787,0.7,0.8166666666666664,1.8166666666666664,635.8333333333333,0.8166666666666664,1.8166666666666664,1.0
raps,dragonfly,ok,0.8,0.39061032863849776,0.8,1.6000000000000008,2.6000000000000005,910.0000000000002,1.6000000000000008,2.6000000000000005,1.0
raps,dragonfly_1000n,ok,0.8,0.26188565090248994,0.8,1.6000000000000008,2.6000000000000005,910.0000000000002,1.6000000000000008,2.6000000000000005,1.0
raps_engine,dragonfly,ok,0.05,0.050000000000000044,0.05,0.0,1.0,350.0,0.001315789473684211,1.0013157894736842,0.0
raps_engine,dragonfly_1000n,ok,0.05,0.026289473684209645,0.05,0.0,1.0,350.0,0.001315789473684211,1.0013157894736842,0.0
raps_engine,dragonfly,ok,0.1,0.10000000000000009,0.1,0.005555555555555536,1.0055555555555555,351.94444444444446,0.005555555555555557,1.0055555555555555,0.9999999999999962
raps_engine,dragonfly_1000n,ok,0.1,0.05257894736841929,0.1,0.005555555555555536,1.0055555555555555,351.94444444444446,0.005555555555555557,1.0055555555555555,0.9999999999999962
raps_engine,dragonfly,ok,0.2,0.20000000000000018,0.2,0.02499999999999991,1.025,358.74999999999994,0.025000000000000005,1.025,0.9999999999999962
raps_engine,dragonfly_1000n,ok,0.2,0.10515789473683858,0.2,0.02499999999999991,1.025,358.74999999999994,0.025000000000000005,1.025,0.9999999999999962
raps_engine,dragonfly,ok,0.3,0.30000000000000027,0.3,0.06428571428571428,1.0642857142857143,372.5,0.0642857142857143,1.0642857142857143,0.9999999999999998
raps_engine,dragonfly_1000n,ok,0.3,0.15773684210525787,0.3,0.06428571428571428,1.0642857142857143,372.5,0.0642857142857143,1.0642857142857143,0.9999999999999998
raps_engine,dragonfly,ok,0.4,0.40000000000000036,0.4,0.1333333333333333,1.1333333333333333,396.66666666666663,0.13333333333333336,1.1333333333333333,0.9999999999999996
raps_engine,dragonfly_1000n,ok,0.4,0.21031578947367716,0.4,0.1333333333333333,1.1333333333333333,396.66666666666663,0.13333333333333336,1.1333333333333333,0.9999999999999996
raps_engine,dragonfly,ok,0.5,0.5000000000000004,0.5,0.25,1.25,437.5,0.25,1.25,1.0
raps_engine,dragonfly_1000n,ok,0.5,0.26289473684209647,0.5,0.25,1.25,437.5,0.25,1.25,1.0
raps_engine,dragonfly,ok,0.6,0.6000000000000005,0.6,0.44999999999999996,1.45,507.5,0.44999999999999996,1.45,1.0
raps_engine,dragonfly_1000n,ok,0.6,0.31547368421051575,0.6,0.44999999999999996,1.45,507.5,0.44999999999999996,1.45,1.0
raps_engine,dragonfly,ok,0.7,0.7000000000000006,0.7,0.8166666666666664,1.8166666666666664,635.8333333333333,0.8166666666666664,1.8166666666666664,1.0
raps_engine,dragonfly_1000n,ok,0.7,0.3680526315789351,0.7,0.8166666666666664,1.8166666666666664,635.8333333333333,0.8166666666666664,1.8166666666666664,1.0
raps_engine,dragonfly,ok,0.8,0.8000000000000007,0.8,1.6000000000000005,2.6000000000000005,910.0000000000002,1.6000000000000008,2.6000000000000005,0.9999999999999999
raps_engine,dragonfly_1000n,ok,0.8,0.4206315789473543,0.8,1.6000000000000005,2.6000000000000005,910.0000000000002,1.6000000000000008,2.6000000000000005,0.9999999999999999
simgrid,dragonfly,ok,0.05,0.02441314553990609,0.04999999999999996,0.0,1.0,350.0,0.001315789473684211,1.0013157894736842,0.0
simgrid,dragonfly_1000n,ok,0.05,0.016367853181405764,0.05000000000000043,0.0,1.0,350.0,0.001315789473684211,1.0013157894736842,0.0
simgrid,dragonfly,ok,0.1,0.04882629107981218,0.09999999999999992,0.0,1.0,350.0,0.005555555555555557,1.0055555555555555,0.0
simgrid,dragonfly_1000n,ok,0.1,0.03273570636281153,0.10000000000000087,0.0,1.0,350.0,0.005555555555555557,1.0055555555555555,0.0
simgrid,dragonfly,ok,0.2,0.09765258215962436,0.19999999999999984,0.0,1.0,350.0,0.025000000000000005,1.025,0.0
simgrid,dragonfly_1000n,ok,0.2,0.06547141272562305,0.20000000000000173,0.0,1.0,350.0,0.025000000000000005,1.025,0.0
simgrid,dragonfly,ok,0.3,0.1464788732394365,0.2999999999999997,0.0,1.0,350.0,0.0642857142857143,1.0642857142857143,0.0
simgrid,dragonfly_1000n,ok,0.3,0.09820711908843456,0.3000000000000026,0.0,1.0,350.0,0.0642857142857143,1.0642857142857143,0.0
simgrid,dragonfly,ok,0.4,0.19530516431924871,0.3999999999999997,0.0,1.0,350.0,0.13333333333333336,1.1333333333333333,0.0
simgrid,dragonfly_1000n,ok,0.4,0.1309428254512461,0.40000000000000346,0.0,1.0,350.0,0.13333333333333336,1.1333333333333333,0.0
simgrid,dragonfly,ok,0.5,0.24413145539906086,0.49999999999999956,0.0,1.0,350.0,0.25,1.25,0.0
simgrid,dragonfly_1000n,ok,0.5,0.16367853181405762,0.5000000000000043,0.0,1.0,350.0,0.25,1.25,0.0
simgrid,dragonfly,ok,0.6,0.292957746478873,0.5999999999999994,0.0,1.0,350.0,0.44999999999999996,1.45,0.0
simgrid,dragonfly_1000n,ok,0.6,0.19641423817686912,0.6000000000000052,0.0,1.0,350.0,0.44999999999999996,1.45,0.0
simgrid,dragonfly,ok,0.7,0.3417840375586852,0.6999999999999993,0.0,1.0,350.0,0.8166666666666664,1.8166666666666664,0.0
simgrid,dragonfly_1000n,ok,0.7,0.22914994453968066,0.7000000000000061,0.0,1.0,350.0,0.8166666666666664,1.8166666666666664,0.0
simgrid,dragonfly,ok,0.8,0.39061032863849743,0.7999999999999994,0.0,1.0,350.0,1.6000000000000008,2.6000000000000005,0.0
simgrid,dragonfly_1000n,ok,0.8,0.2618856509024922,0.8000000000000069,0.0,1.0,350.0,1.6000000000000008,2.6000000000000005,0.0
sst-macro,dragonfly_1000n,failed,0.05,,,,,,0.001315789473684211,1.0013157894736842,
sst-macro,dragonfly_1000n,failed,0.1,,,,,,0.005555555555555557,1.0055555555555555,
sst-macro,dragonfly_1000n,failed,0.2,,,,,,0.025000000000000005,1.025,
sst-macro,dragonfly_1000n,failed,0.3,,,,,,0.0642857142857143,1.0642857142857143,
sst-macro,dragonfly_1000n,failed,0.4,,,,,,0.13333333333333336,1.1333333333333333,
sst-macro,dragonfly_1000n,failed,0.5,,,,,,0.25,1.25,
sst-macro,dragonfly_1000n,failed,0.6,,,,,,0.44999999999999996,1.45,
sst-macro,dragonfly_1000n,failed,0.7,,,,,,0.8166666666666664,1.8166666666666664,
sst-macro,dragonfly_1000n,failed,0.8,,,,,,1.6000000000000008,2.6000000000000005,
