experiment,data_type,system,use_case,algorithm,latency_us,throughput_gbps,congestion,slowdown_factor,avg_hops,strategy,communication_cost,cost_reduction,scheduler,makespan,avg_wait_time,utilization,jobs_completed,energy_kwh,avg_power_kw,co2_kg,pflops,rl_reward,scenario,compute_power_mw,total_power_mw,peak_power_mw,avg_pflops,efficiency_gflops_w,rpeak_pflops,pattern,num_ranks
comd_n64_dense_20260121_214717,real,frontier,power,,,,,,,,,,,,,,,5663.638854963329,,1982273.5992371652,,,job_packing,5.254922648935048,6.305907178722057,7.594524434042554,327.7418015754172,62368.53013275784,1018.24,,
comd_n64_scaled_20260121_214308,real,lassen,routing,minimal,361.83696000000003,12.5,0.000216652198,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,routing,ecmp,362.08696000000003,12.5,0.000216652198,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,placement,,,,,,,contiguous,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,placement,,,,,,,random,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,placement,,,,,,,locality,4228502768.0,-0.21984187300975355,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,placement,,,,,,,spectral,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,scheduling,,,,,,,,,,fcfs,38500.0,0.0,0.007778679653679654,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,scheduling,,,,,,,,,,backfill,38500.0,0.0,0.007778679653679654,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,scheduling,,,,,,,,,,sjf,38500.0,0.0,0.007778679653679654,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,scheduling,,,,,,,,,,rl,38540.0,20.198019801980198,0.0,101.0,0.0,0.0,0.0,0.0,599.5300000000043,,,,,,,,,
comd_n64_scaled_20260121_214308,real,lassen,power,,,,,,,,,,,,,,,2321.1332965764022,,928453.318630561,,,baseline,2.1536288318750123,2.799717481437516,3.264698210526316,48.43717030928908,22490.955540894327,157.5936,,
comd_n64_scaled_20260121_214308,real,lassen,power,,,,,,,,,,,,,,,2318.193847666437,,927277.5390665748,,,power_cap,2.1509015081441163,2.7961719605873516,3.2233346052631577,48.43337866410223,22517.711053116735,157.5936,,
comd_n64_scaled_20260121_214308,real,lassen,power,,,,,,,,,,,,,,,2279.314576682794,,911725.8306731175,,,frequency_scaling,2.1148279577469222,2.7492763450709985,3.264698210526316,46.12402882329315,21809.82554837812,157.5936,,
comd_n64_scaled_20260121_214308,real,lassen,power,,,,,,,,,,,,,,,2004.3477527520274,,801739.101100811,,,job_packing,1.8597041004915722,2.4176153306390438,2.827013184210527,47.34175028450276,25456.603699475094,157.5936,,
comd_n64_scaled_20260121_214308,real,frontier,routing,minimal,181.21848,25.0,0.000108326099,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,routing,ugal,181.44348000000002,25.0,0.000108326099,1.0,4.2,,,,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,routing,valiant,181.66848000000002,25.0,0.000108326099,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,placement,,,,,,,contiguous,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,placement,,,,,,,random,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,placement,,,,,,,locality,4512760784.0,-0.3018448536580276,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,placement,,,,,,,spectral,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,scheduling,,,,,,,,,,fcfs,38500.0,0.0,0.003784222534222534,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,scheduling,,,,,,,,,,backfill,38500.0,0.0,0.003784222534222534,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,scheduling,,,,,,,,,,sjf,38500.0,0.0,0.003784222534222534,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,scheduling,,,,,,,,,,rl,38600.0,80.1980198019802,0.0,101.0,0.0,0.0,0.0,0.0,599.5200000000042,,,,,,,,,
comd_n64_scaled_20260121_214308,real,frontier,power,,,,,,,,,,,,,,,6668.168128458004,,2333858.844960301,,,baseline,6.186960119187838,7.424352143025406,8.689348187234044,346.92744154758395,56073.97411075038,1018.24,,
comd_n64_scaled_20260121_214308,real,frontier,power,,,,,,,,,,,,,,,6662.507847693942,,2331877.7466928796,,,power_cap,6.181708312293348,7.418049974752018,8.615830314893618,346.9228945884568,56120.87744394916,1018.24,,
comd_n64_scaled_20260121_214308,real,frontier,power,,,,,,,,,,,,,,,6537.085866446871,,2287980.0532564046,,,frequency_scaling,6.065337401857921,7.2784048822295055,8.689348187234044,330.3597488987902,54466.83787081575,1018.24,,
comd_n64_scaled_20260121_214308,real,frontier,power,,,,,,,,,,,,,,,5806.853175927736,,2032398.6115747073,,,job_packing,5.38780191580924,6.465362298971087,7.594524434042554,339.1751850515641,62952.42296423968,1018.24,,
cosp2_n128_sparse_20260121_215534,real,lassen,routing,minimal,0.87888,12.5,2.399156589147287e-08,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,routing,ecmp,1.12888,12.5,2.399156589147287e-08,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,placement,,,,,,,contiguous,773728.0,0.0,,,,,,,,,,,,,,,,,,,
